Economy Name,Economy Code,GQII Scores,GQII Rank
Liberia,LBR,0.1873,175
Libya,LBY,0.1546,179
Liechtenstein,LIE,0.2368,160
Lithuania,LTU,0.694,55
Luxembourg,LUX,0.6334,61
"Macao, China",MAC,0.2839,152
Madagascar,MDG,0.3942,116
Malawi,MWI,0.448,103
Malaysia,MYS,0.8486,29
Maldives,MDV,0.221,164
Mali,MLI,0.3671,122
Malta,MLT,0.4676,96
Mauritania,MRT,0.2957,147
Mauritius,MUS,0.5397,79
Mexico,MEX,0.9112,18
"Moldova, Republic of",MDA,0.5564,73
Mongolia,MNG,0.5308,82
Montenegro,MNE,0.5581,71
Morocco,MAR,0.5719,70
Mozambique,MOZ,0.4217,107
Myanmar,MMR,0.3201,137
Namibia,NAM,0.4939,93
Nepal,NPL,0.3709,121
Netherlands,NLD,0.9129,17
New Zealand,NZL,0.8031,43
Nicaragua,NIC,0.3655,123
Niger,NER,0.3004,144
Nigeria,NGA,0.5327,80
North Macedonia,MKD,0.6025,66
Norway,NOR,0.8272,34
Oman,OMN,0.5313,81
Pakistan,PAK,0.7154,50
Palestinian Territories,PSE,0.3632,125
Panama,PAN,0.4647,97
Papua New Guinea,PNG,0.2952,148
Paraguay,PRY,0.4458,104
Peru,PER,0.6905,56
Philippines,PHL,0.5978,68
Poland,POL,0.9265,11
Portugal,PRT,0.8405,32
Qatar,QAT,0.5577,72
Romania,ROU,0.8687,24
Russian Federation,RUS,0.8426,31
Rwanda,RWA,0.344,131
Saint Kitts and Nevis,KNA,0.2214,163
Saint Lucia,LCA,0.3332,133
Saint Vincent and the Grenadines,VCT,0.2109,167
Samoa,WSM,0.1901,172
"Saudi Arabia, Kingdom of",SAU,0.6746,57
Senegal,SEN,0.3855,118
Serbia,SRB,0.8219,39
Seychelles,SYC,0.3951,114
Sierra Leone,SLE,0.2058,168
Singapore,SGP,0.8428,30
Slovak Republic,SVK,0.8596,26
Slovenia,SVN,0.7621,47
Solomon Islands,SLB,0.1302,183
Somalia,SOM,0.2152,166
South Africa,ZAF,0.9084,20
South Sudan,SSD,0.1612,178
Spain,ESP,0.9483,9
Sri Lanka,LKA,0.6404,60
Sudan,SDN,0.3809,120
Suriname,SUR,0.2997,145
Sweden,SWE,0.8964,21
Switzerland,CHE,0.9239,12
Syrian Arab Republic,SYR,0.2915,149
Taiwan (Province of China),TWN,0.6315,62
Tajikistan,TJK,0.2242,161
Tanzania,TZA,0.5125,87
Thailand,THA,0.8313,33
Timor-Leste,TLS,0.119,184
Togo,TGO,0.3287,135
Tonga,TON,0.1326,181
Trinidad and Tobago,TTO,0.4122,110
Tunisia,TUN,0.6302,63
Turkey,TUR,0.9192,16
Uganda,UGA,0.3988,112
Ukraine,UKR,0.8105,42
United Arab Emirates,ARE,0.752,49
United Kingdom,GBR,0.9816,4
United States,USA,0.9867,3
Uruguay,URY,0.6573,58
Uzbekistan,UZB,0.525,84
Vanuatu,VUT,0.1326,181
"Venezuela, Bolivarian Republic of",VEN,0.2899,151
Viet Nam,VNM,0.7061,51
Yemen,YEM,0.2912,150
Zambia,ZMB,0.3873,117
Zimbabwe,ZWE,0.4163,108
